id,type,name,distance,moving_time,elapsed_time,total_elevation_gain,start_date,start_date_local,start_latlng,kilojoules,average_heartrate,max_heartrate,elev_high,elev_low,average_speed,max_speed,location_city,location_state,location_country,timezone,summary_polyline
19187021015,Run,Morning Run,5222.8,1996,1996,25.4,2026-07-05 09:54:19+00:00,2026-07-05T10:54:19Z,"[51.676167, -0.607557]",,160.2,173.0,169.1,153.5,2.617,5.98,,,,(GMT+00:00) Europe/London,__lzHftuBGB]Us@Y[\O?KWECSTWDIJOBCB@PGDm@LIDqAVUJMRC?MMg@RC?e@LQ@YLSBMFG@]Ly@Na@NO?]FQJILOHCAQDEEC?GDSBABkATc@NSFUN_@d@GPUTCHy@dAOVCLC~A@fBIl@?`@CDAVCv@QfDCtABvBFf@DxAq@lDIRQn@Sb@UhAcArCMd@c@lAW|@MVQn@GHa@vAWd@Sj@KNc@`AIHCNOXc@r@KZMTCXBLHLf@h@\R|@v@zAfAPRj@d@F@vAfAPH`Ax@HBDF\RZZ\RJJJD^DPGTm@Dm@A]FuA`@kDCs@I_@O][i@E]Ww@Gg@BmAPc@Te@b@mAXiAZcBLYN[\c@\WPWVWj@y@f@{A\u@r@gC\sBLuBBYL]Bc@ViBVmAPg@Ji@^eADYVu@`@iB^uBXsB@YA_@]oD@]C]?_@CMGIUBYJ{A^OF_@FQHi@HiA\GASBWJMNKFSBOE]NiARs@Xc@^{AnBSAYZ]n@URW^MHGL[\KRe@b@IPUXKVUVIDCH[ZQ^MNMRSNKACCKYGc@OmBAk@H{@AMBKB{@A[H]PsAJgACYHeEF]@]BOR[X{BB]J_@JgA?kAJyB@e@Ic@Cm@@w@GgAG_@Cq@@MDMN[TKTELQROJMXOV?FEDMHEJBRCFDHAHHVD\@XFHAJBDAZHL@HH\L^DXHh@HL@\Jl@HJDj@FJF|@NbA`AVf@PBRFZ\FBRAHP@PQnAJZZ\N\Zf@`AvB
19173027565,WeightTraining,Morning Weight Training,0.0,2599,2599,0.0,2026-07-04 08:21:21+00:00,2026-07-04T09:21:21Z,[],,119.8,157.0,,,0.0,0.0,,,,(GMT+00:00) Europe/London,
19165818610,WeightTraining,Afternoon Weight Training,0.0,3559,3559,0.0,2026-07-03 15:51:44+00:00,2026-07-03T16:51:44Z,[],,108.6,145.0,,,0.0,0.0,,,,(GMT+00:00) Europe/London,
19146259964,WeightTraining,Morning Weight Training,0.0,2976,2976,0.0,2026-07-02 04:58:23+00:00,2026-07-02T05:58:23Z,[],,124.9,163.0,,,0.0,0.0,,,,(GMT+00:00) Europe/London,
19133406940,Workout,Morning Workout,0.0,2560,2560,0.0,2026-07-01 05:52:28+00:00,2026-07-01T06:52:28Z,[],,151.3,186.0,,,0.0,0.0,,,,(GMT+00:00) Europe/London,
19119909920,WeightTraining,Morning Weight Training,0.0,3863,3863,0.0,2026-06-30 06:04:21+00:00,2026-06-30T07:04:21Z,[],,114.4,151.0,,,0.0,0.0,,,,(GMT+00:00) Europe/London,
19106721041,WeightTraining,Morning Weight Training,0.0,2686,2686,0.0,2026-06-29 06:04:49+00:00,2026-06-29T07:04:49Z,[],,106.0,140.0,,,0.0,0.0,,,,(GMT+00:00) Europe/London,
19083891393,Workout,Morning Workout,0.0,4317,4317,0.0,2026-06-27 09:10:59+00:00,2026-06-27T10:10:59Z,[],,172.0,199.0,,,0.0,0.0,,,,(GMT+00:00) Europe/London,
19075959278,WeightTraining,Afternoon Weight Training,0.0,3488,3488,0.0,2026-06-26 16:11:49+00:00,2026-06-26T17:11:49Z,[],,124.4,150.0,,,0.0,0.0,,,,(GMT+00:00) Europe/London,
19057893650,WeightTraining,Morning Weight Training,0.0,3379,3379,0.0,2026-06-25 04:57:55+00:00,2026-06-25T05:57:55Z,[],,105.5,142.0,,,0.0,0.0,,,,(GMT+00:00) Europe/London,
19050425694,WeightTraining,Afternoon Weight Training,0.0,2494,2494,0.0,2026-06-24 14:27:31+00:00,2026-06-24T15:27:31Z,[],,105.2,140.0,0.0,0.0,0.0,0.0,,,,(GMT+00:00) Europe/London,
19032082692,WeightTraining,Morning Weight Training,0.0,3279,3279,0.0,2026-06-23 06:37:32+00:00,2026-06-23T07:37:32Z,[],,117.9,159.0,0.0,0.0,0.0,0.0,,,,(GMT+00:00) Europe/London,
19018512741,WeightTraining,Morning Weight Training,0.0,2960,2960,0.0,2026-06-22 05:56:00+00:00,2026-06-22T06:56:00Z,[],,111.0,153.0,0.0,0.0,0.0,0.0,,,,(GMT+00:00) Europe/London,
19006341881,Workout,Morning Workout,0.0,3598,3598,0.0,2026-06-21 07:00:00+00:00,2026-06-21T08:00:00Z,[],,147.9,192.0,0.0,0.0,0.0,0.0,,,,(GMT+00:00) Europe/London,
18993481133,WeightTraining,Morning Weight Training,0.0,3341,3341,0.0,2026-06-20 07:37:58+00:00,2026-06-20T08:37:58Z,[],,111.5,137.0,0.0,0.0,0.0,0.0,,,,(GMT+00:00) Europe/London,
